benchmark_id,elite_rate,elimination_rate,seed,best_value,error,time
CEC2022_F1,0.1,0.05,3866555287,9907.7099420590493537,9607.7099420590493537,1.515342
CEC2022_F1,0.1,0.05,1850582270,8865.8113402977578517,8565.8113402977578517,1.525896
CEC2022_F1,0.1,0.05,77564218,10142.2406856291072472,9842.2406856291072472,1.539878
CEC2022_F1,0.1,0.05,2900478716,5497.2507398248353638,5197.2507398248353638,1.524036
CEC2022_F1,0.1,0.05,2658924762,11488.2536397332096385,11188.2536397332096385,1.519778
CEC2022_F1,0.1,0.05,4255501078,6811.2747554543630031,6511.2747554543630031,1.535235
CEC2022_F1,0.1,0.05,1632872662,13865.0532234998045169,13565.0532234998045169,1.515442
CEC2022_F1,0.1,0.05,904221688,13313.1334672282209795,13013.1334672282209795,1.530592
CEC2022_F1,0.1,0.05,4030529564,8513.9158674690534099,8213.9158674690534099,1.532602
CEC2022_F1,0.1,0.05,619566366,11692.6355107752224285,11392.6355107752224285,1.523742
CEC2022_F1,0.1,0.05,3493902821,11850.3786721024262079,11550.3786721024262079,1.528730
CEC2022_F1,0.1,0.05,2974449495,7008.4323719213880395,6708.4323719213880395,1.519141
CEC2022_F1,0.1,0.05,2545965601,9592.1186620092648809,9292.1186620092648809,1.516553
CEC2022_F1,0.1,0.05,2158924125,15351.1521041528831120,15051.1521041528831120,1.541006
CEC2022_F1,0.1,0.05,1981180051,7360.8679908273561523,7060.8679908273561523,1.527319
CEC2022_F1,0.1,0.05,2112044542,8506.7216188861657429,8206.7216188861657429,1.528999
CEC2022_F1,0.1,0.05,2881573664,14055.7330574896950566,13755.7330574896950566,1.547786
CEC2022_F1,0.1,0.05,2372223958,7947.9794342889608743,7647.9794342889608743,1.518472
CEC2022_F1,0.1,0.05,145415183,6503.8934814602789629,6203.8934814602789629,1.520914
CEC2022_F1,0.1,0.05,2487350364,10224.4452148944019427,9924.4452148944019427,1.515332
CEC2022_F1,0.1,0.05,3686646044,4795.2250314660077493,4495.2250314660077493,1.510985
CEC2022_F1,0.1,0.05,3678671351,7264.9735161866019553,6964.9735161866019553,1.522006
CEC2022_F1,0.1,0.05,524986831,13615.3789652931991441,13315.3789652931991441,1.526706
CEC2022_F1,0.1,0.05,1459918617,9022.7321089826873504,8722.7321089826873504,1.562475
CEC2022_F1,0.1,0.05,1638605194,6858.8626494688987805,6558.8626494688987805,1.522603
CEC2022_F1,0.1,0.05,1884120510,5590.5545499441095672,5290.5545499441095672,1.520758
CEC2022_F1,0.1,0.1,2894928748,13496.6674659560139844,13196.6674659560139844,1.527192
CEC2022_F1,0.1,0.1,1806734915,11266.9334409309394687,10966.9334409309394687,1.534956
CEC2022_F1,0.1,0.1,3217235270,9102.8531440459410078,8802.8531440459410078,1.536685
CEC2022_F1,0.1,0.1,1790284968,12109.5515480699250475,11809.5515480699250475,1.526063
CEC2022_F1,0.1,0.1,3866555287,9540.3360298518600757,9240.3360298518600757,1.537103
CEC2022_F1,0.1,0.1,1850582270,16274.7046571800728998,15974.7046571800728998,1.540492
CEC2022_F1,0.1,0.1,77564218,9944.9948384529689065,9644.9948384529689065,1.524573
CEC2022_F1,0.1,0.1,2900478716,6657.3956029182763814,6357.3956029182763814,1.524141
CEC2022_F1,0.1,0.1,2658924762,12806.2589013743363466,12506.2589013743363466,1.532451
CEC2022_F1,0.1,0.1,4255501078,11381.8716804266205145,11081.8716804266205145,1.534944
CEC2022_F1,0.1,0.1,1632872662,13259.4651464997750736,12959.4651464997750736,1.550443
CEC2022_F1,0.1,0.1,904221688,13902.3574919840775692,13602.3574919840775692,1.584512
CEC2022_F1,0.1,0.1,4030529564,9874.3994681374624633,9574.3994681374624633,1.632737
CEC2022_F1,0.1,0.1,619566366,12206.7069986742098990,11906.7069986742098990,1.663036
CEC2022_F1,0.1,0.1,3493902821,10186.2854593621341337,9886.2854593621341337,1.631976
CEC2022_F1,0.1,0.1,2974449495,7077.8941334840683339,6777.8941334840683339,1.629220
CEC2022_F1,0.1,0.1,2545965601,8936.9097554709624092,8636.9097554709624092,1.650809
CEC2022_F1,0.1,0.1,2158924125,10735.1968830540390627,10435.1968830540390627,1.657753
